Part Name,Part Type,Hatchback Price (INR),Hatchback Paint Cost (INR),Hatchback Fitment Hrs,Hatchback Paint Hrs,Sedan Price (INR),Sedan Paint Cost (INR),Sedan Fitment Hrs,Sedan Paint Hrs,SUV Price (INR),SUV Paint Cost (INR),SUV Fitment Hrs,SUV Paint Hrs,MUV/MPV Price (INR),MUV/MPV Paint Cost (INR),MUV/MPV Fitment Hrs,MUV/MPV Paint Hrs,Premium Price (INR),Premium Paint Cost (INR),Premium Fitment Hrs,Premium Paint Hrs
Front Bumper Cover,Body Panel,17024,3000,2.5,3,23834,4000,3,3.5,34048,5500,3.5,4,29792,5000,3,3.5,80864,9000,4,5
Rear Bumper Cover,Body Panel,15322,2800,2,2.5,21280,3800,2.5,3,32346,5200,3,3.5,27238,4700,2.5,3,74906,8500,3.5,4.5
Front Left Fender,Body Panel,9363,2000,1.5,2,11917,2800,2,2.5,17875,4000,2.5,3,15322,3500,2,2.5,46816,6500,3,4
Front Right Fender,Body Panel,9363,2000,1.5,2,11917,2800,2,2.5,17875,4000,2.5,3,15322,3500,2,2.5,46816,6500,3,4
Rear Left Quarter Panel,Body Panel,23834,4500,4,4.5,29792,6000,5,5.5,46816,8500,6,6.5,38304,7000,5.5,6,114912,12000,7,7.5
Rear Right Quarter Panel,Body Panel,23834,4500,4,4.5,29792,6000,5,5.5,46816,8500,6,6.5,38304,7000,5.5,6,114912,12000,7,7.5
Front Left Door Shell,Body Panel,25536,4000,3,4,33200,5500,3.5,4.5,57020,8000,4,5,44262,6500,3.5,4.5,136192,11000,5,6
Front Right Door Shell,Body Panel,25536,4000,3,4,33200,5500,3.5,4.5,57020,8000,4,5,44262,6500,3.5,4.5,136192,11000,5,6
Rear Left Door Shell,Body Panel,22131,3800,2.5,3.5,29792,5000,3,4,51072,7500,3.5,4.5,40858,6000,3,4,123424,10000,4.5,5.5
Rear Right Door Shell,Body Panel,22131,3800,2.5,3.5,29792,5000,3,4,51072,7500,3.5,4.5,40858,6000,3,4,123424,10000,4.5,5.5
Hood/Bonnet,Body Panel,22982,4200,2.5,3.5,31494,5800,3,4,50221,8200,3.5,4.5,40858,6700,3,4,119168,11500,4,5
Trunk Lid/Boot Lid,Body Panel,20429,3800,2,3,28090,5000,2.5,3.5,40858,7000,3,4,34048,6000,2.5,3.5,106400,9800,3.5,4.5
Front Left Headlight Assembly,Lighting,11917,0,1,0,17024,0,1.5,0,28090,0,2,0,22131,0,1.5,0,63840,0,2.5,0
Front Right Headlight Assembly,Lighting,11917,0,1,0,17024,0,1.5,0,28090,0,2,0,22131,0,1.5,0,63840,0,2.5,0
Rear Left Taillight Assembly,Lighting,9363,0,0.8,0,13619,0,1.2,0,23834,0,1.5,0,18726,0,1.2,0,52774,0,2,0
Rear Right Taillight Assembly,Lighting,9363,0,0.8,0,13619,0,1.2,0,23834,0,1.5,0,18726,0,1.2,0,52774,0,2,0
Windshield Glass,Glass,16173,0,2,0,21280,0,2.5,0,33200,0,3,0,26387,0,2.5,0,76608,0,4,0
Rear Windshield Glass,Glass,11917,0,1.5,0,16173,0,2,0,26387,0,2.5,0,22131,0,2,0,63840,0,3.5,0
Left Side Mirror Assembly,Mirror,5958,1500,0.5,1,7661,2000,0.8,1.5,11066,2800,1,2,9363,2400,0.8,1.5,27238,4500,1.5,2.5
Right Side Mirror Assembly,Mirror,5958,1500,0.5,1,7661,2000,0.8,1.5,11066,2800,1,2,9363,2400,0.8,1.5,27238,4500,1.5,2.5
Front Grille,Body Panel,4682,1000,0.5,1,6809,1500,0.8,1.2,10214,2200,1,1.5,8086,1800,0.8,1.2,22131,3500,1.2,2
Roof Panel,Body Panel,28000,6000,6,7,38000,8000,7,8,60000,11000,8,9,50000,9500,7.5,8.5,150000,18000,10,11
